"Group","Acidaminococcus","Acidobacteria_Gp4_unclassified","Acidovorax","Acinetobacter","Actinobacteria_unclassified","Actinomyces","Actinomycetaceae_unclassified","Actinomycetales_unclassified","Aeromonas","Afipia","Akkermansia","Alcaligenaceae_unclassified","Alcaligenes","Alicyclobacillaceae_unclassified","Alistipes","Alloprevotella","Alphaproteobacteria_unclassified","Anaerobacillus","Anaerococcus","Anaerofilum","Anaerostipes","Anaerovorax","Aquabacterium","Aquaspirillum","Asteroleplasma","Bacillaceae_1_unclassified","Bacillales_unclassified","Bacilli_unclassified","Bacillus","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacterium","Bilophila","Blautia","Bordetella","Bradyrhizobiaceae_unclassified","Bradyrhizobium","Brevundimonas","Burkholderiaceae_unclassified","Burkholderiales_unclassified","Butyricimonas","Campylobacter","Caulobacteraceae_unclassified","Chitinophagaceae_unclassified","Chryseobacterium","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_unclassified","Clostridium_III","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Comamonadaceae_unclassified","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacterium","Cryomorphaceae_unclassified","Cupriavidus","Delftia","Desulfovibrio","Dialister","Dorea","Eggerthella","Eikenella","Enhydrobacter","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Erysipelotrichaceae_unclassified","Ethanoligenens","Eubacteriaceae_unclassified","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavobacterium","Flavonifractor","Fontibacillus","Fusobacteriaceae_unclassified","Fusobacteriales_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Gemella","Haemophilus","Helcococcus","Herbaspirillum","Holdemania","Howardella","Hydrogenophilus","Hymenobacter","Lachnoanaerobaculum","Lachnospiraceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Leptotrichia","Leptotrichiaceae_unclassified","Leuconostoc","Leuconostocaceae_unclassified","Macrococcus","Magnetospirillum","Megamonas","Mesorhizobium","Methylobacterium","Microvirgula","Mitsuokella","Mobiluncus","Mogibacterium","Moryella","Mycetocola","Neisseriaceae_unclassified","Nitratireductor","Ochrobactrum","Odoribacter","Olsenella","Oscillibacter","Oxalobacteraceae_unclassified","Paenibacillaceae_1_unclassified","Parabacteroides","Paraeggerthella","Paraprevotella","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Pelosinus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phenylobacterium","Phyllobacteriaceae_unclassified","Phyllobacterium","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacteriaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Proteus","Pseudomonadaceae_unclassified","Pseudomonadales_unclassified","Pseudomonas","Pyramidobacter","Rhizobiaceae_unclassified","Rhizobiales_unclassified","Rhodobacteraceae_unclassified","Rikenellaceae_unclassified","Roseateles","Roseburia","Roseomonas","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Selenomonadales_unclassified","Skermanella","Sneathia","Sphingomonadaceae_unclassified","Sphingomonadales_unclassified","Sphingomonas","Sporobacter","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Sulfurospirillum","Sutterella","Synergistaceae_unclassified","Tepidimonas","Thauera","Tissierella","Turicibacter","Veillonella","Veillonellaceae_unclassified","Vitreoscilla","Vogesella","Weissella","Xanthomonadaceae_unclassified","Xanthomonas"
"SRR1556469",0,0,29,37,0,0,0,4,13,0,0,37,0,0,28,1,6,0,0,0,0,0,0,7,0,0,1,2,0,51,44,3107,35,13,10,0,0,1,3,0,2,25,25,7,1,0,0,0,4,0,0,0,8,0,3,0,3,8,0,3,3746,0,0,0,1,0,0,244,0,8,10,0,0,5,149,6,0,0,0,0,0,1,2,0,4,0,0,0,1,2,0,0,0,1,0,0,0,0,0,188,1,0,244,0,0,11,0,0,0,1,1,1,5,0,0,0,0,0,1,0,10,1,0,1,3,0,95,0,0,0,0,0,0,0,1,0,13,0,0,6,0,22,7,0,23,4,0,17,0,0,0,2,1,0,4,2,14,0,64,0,27,0,0,0,6,63,309,0,2,8,47,0,1,0,0,0,0,1,2,7,0,1,67,2,18
"SRR1556470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,2112,0,0,0,0,0,8,0,0,0,0,0,5,0,109,89,4837,35,231,2,0,0,1,0,0,0,0,0,48,89,0,0,0,0,13,0,10,181,0,1,0,3,206,66,0,8,0,2,0,0,0,0,2,0,124,25,0,0,0,0,0,0,5,3,0,0,83,0,0,17,0,45,2,2769,0,5,0,0,0,0,0,0,0,0,364,4,0,3,86,1,0,0,0,0,6,0,0,0,2,0,13,0,0,0,0,0,42,1,42,0,0,93,0,0,1,737,0,0,0,7,74,0,0,0,7,0,667,110,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0,581,0,34,17,0,0,0,0,1,3,0,66,110,0,1,1,0,0,85,0,0,261,0,0,0,0,0
"SRR1556471",0,0,15,6,0,0,0,1,2,0,0,0,0,1,585,48,0,0,0,0,4,0,0,0,0,2,0,9,0,290,1,1077,51,0,0,0,0,6,0,0,2,1,95,0,114,0,2,0,3,3,1,2,99,0,5,1,4,11,16,0,6,0,0,0,0,0,0,82,1,3,9,0,0,2,29,90,0,17,0,1,0,289,1,1,39,0,0,0,31,2,11,0,0,0,66,0,0,1,0,225,15,6,321,1,0,26,0,0,0,0,0,13,3,0,2,0,2,0,0,0,0,86,0,509,0,2,107,0,0,0,28,0,0,0,0,0,34,0,1,0,20,14,12,0,4,1,0,0,0,0,0,2,2,2,6,9,2,6,784,0,33,0,2,0,0,7,26,120,0,32,573,2,0,0,0,1,0,0,1,21,0,1,1605,0,0
"SRR1556472",0,0,0,0,0,77,2,0,0,0,0,0,0,0,41,846,0,0,23,0,1,0,0,0,0,0,12,6,0,56,9,941,16,0,0,0,0,1,0,2,0,0,9,0,18,2,0,0,0,0,3,7,41,0,2,0,1,24,18,10,0,0,0,1,0,0,0,0,0,20,1,0,0,0,1,30,0,3,0,0,1,40,0,0,2,0,121,0,10929,6,1223,0,1,0,15,0,0,0,451,113,0,0,3,181,0,0,0,0,0,0,0,0,0,0,1,0,353,0,4,0,0,16,0,49,0,0,29,0,0,0,639,2,0,0,0,0,0,0,0,2,316,32,23,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,95,0,4,0,0,0,0,0,0,7,0,3,46,0,0,0,0,0,0,0,0,3,0,0,10,0,1
"SRR1556473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,293,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1556474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1556475",5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,3,0,0,0,0,0,0,0,0,48,47,8959,10,0,5,0,2,29,0,0,0,0,37,22,0,0,0,0,1,4,1,0,34,0,0,3,69,28,16,90,0,0,0,35,0,0,0,0,0,25,81,12,0,0,3,0,0,3,0,0,0,46,0,0,6,0,12,0,616,0,0,1,0,0,23,0,0,0,0,469,1,0,5,4,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,233,0,0,0,0,16,0,0,21,1,4,0,0,11,0,0,184,0,0,1,0,0,0,0,0,0,0,0,0,0,1544,0,711,0,1004,266,0,0,0,2,1,0,0,7,5340,0,385,0,0,0,0,0,0,129,0,0,16,0,0
"SRR1556476",0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,4,11,0,0,0,0,0,0,2,0,98,39,6125,2,0,1,1,5,12,0,0,0,1,144,8,0,0,0,0,0,5,2,0,32,0,2,1,18,144,150,31,0,0,0,14,0,0,0,0,0,37,160,3,0,0,8,0,0,1,1,0,0,51,0,0,2,1,48,1,4923,0,0,0,0,0,2,0,0,0,0,525,0,0,7,76,0,0,0,0,0,38,0,0,0,2,0,0,0,0,0,0,0,0,0,24,0,0,278,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,4,0,410,0,308,0,265,519,0,0,0,2,5,0,0,3,463,0,167,3,0,0,0,0,0,699,0,0,23,0,0
"SRR1556479",0,0,1,10,0,0,0,3,4,0,0,8,0,0,16,0,1,0,0,0,4,0,1,0,0,0,1,0,0,382,77,2836,105,1,5,0,0,7,2,2,1,3,5177,93,0,0,0,0,0,2,0,0,11,0,1,0,0,5,8,0,947,0,1,0,0,0,0,110,0,1,4,0,0,2,30,2,0,4,0,0,0,11,1,0,4,0,0,0,4,1,0,0,0,1,1,0,0,0,0,99,1,0,45,0,0,2,0,0,0,0,0,8,1,0,0,0,0,0,0,0,4,5,0,27,2,0,70,0,21,23,0,0,0,0,0,0,36,1,0,6,0,48,3,0,5,2,0,4,0,0,0,3,2,0,2,1,1,0,58,0,22,0,0,1,1,24,110,0,0,1,27,0,0,0,1,0,0,0,0,12,0,0,15,2,10
"SRR1556480",0,0,5,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,1,0,2,1,0,1,0,0,0,0,0,25,12,556,16,1,0,0,0,2,1,0,0,1,4,1,1,0,0,0,0,1,0,825,22,0,1,0,1,12,3,0,834,0,0,0,0,0,0,53,0,8,1,0,0,0,4,15,0,10,0,0,4,15,0,0,8,0,37,0,6319,0,30,0,0,0,0,0,0,0,0,78,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,61,0,0,26,0,0,3,10,0,0,65,0,10,2,0,0,2,46,45,3,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,38,0,20,1,0,0,0,0,7,0,0,4,18,0,0,0,0,0,0,0,0,6,0,0,6,0,4
"SRR1556481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,1,5,0,0,0,0,0,0,0,794,85,5013,7,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,16,0,0,317,0,126,0,0,53,4,0,5,0,0,1,0,0,0,0,0,0,120,0,0,0,10,0,0,11,0,0,0,244,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1481,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,36,0,36,0,937,1,13,2,0,0,1,0,0,126,0,5,489,0,0,1,0,0,0,0,0,47,0,0,0,0,0
"SRR1556482",0,0,0,2,0,1,0,0,0,0,1,2,0,0,884,0,0,0,0,2,2,6,0,0,0,0,0,3,0,590,55,3642,4,0,0,0,0,41,1,0,1,0,1,0,0,0,0,1,0,8,0,0,217,5,75,1,0,97,28,0,132,0,0,0,0,0,0,3,0,1,233,0,0,1,12,1,0,4,3,0,0,158,0,0,21,0,5,0,40,0,4,0,0,0,4,0,0,0,0,1453,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,1497,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,16,0,68,0,556,0,34,4,0,0,0,0,9,57,0,29,180,0,0,4,0,0,0,0,0,74,0,0,2,0,1
"SRR1556484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,95,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,208,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,0,0,0,0,0
"SRR1556485",0,0,0,0,0,0,0,1,0,0,0,0,0,0,357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,113,11246,27,0,5,0,1,21,0,0,0,0,0,14,0,0,0,0,1,5,0,0,24,0,0,0,1,17,71,1,17,0,0,2,0,0,0,0,0,0,15,0,0,0,3,1,0,0,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,13,0,0,0,0,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,237,0,0,2,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,49,0,164,0,20,4,0,0,0,0,1,0,0,0,898,0,18,0,0,0,0,0,0,112,0,0,1,0,0
"SRR1556486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,40,6058,10,0,4,0,0,18,0,0,0,0,1,4,0,0,0,0,0,2,0,0,29,0,2,0,2,46,49,1,37,0,0,0,0,0,0,1,0,1,17,0,0,0,0,0,0,1,1,0,0,12,1,0,53,0,26,0,2728,0,0,0,0,0,5,0,0,0,33,136,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,65,0,0,1,0,0,0,0,0,20,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,41,0,173,0,42,1,0,0,0,0,2,0,0,0,427,0,11,0,0,0,0,0,0,48,0,0,2,1,0
"SRR1556487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,66,4917,14,0,0,0,0,51,0,0,0,0,0,2,38,0,0,0,0,18,0,0,119,0,16,0,0,15,25,0,0,2,0,0,0,0,0,0,1,0,41,0,0,0,3662,0,0,94,0,0,0,32,0,0,5,0,0,0,1,2,0,0,0,0,3,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,59,0,0,584,0,0,2,0,0,0,0,0,0,0,0,0,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,17,0,36,0,175,0,19,1,0,0,0,0,0,0,0,2,196,0,3,0,0,0,0,0,0,30,0,0,0,0,0
