"otu","mda_median","iqr25","iqr75"
"Parasutterella",0.210382484580103,0.210382484580103,0.210382484580103
"Allobaculum",0.195462618010461,0.195462618010461,0.195462618010461
"Pasteurellaceae_unclassified",0.194713895297531,0.194713895297531,0.194713895297531
"Anaerobacter",0.19446559780195,0.19446559780195,0.19446559780195
"Lactobacillales_unclassified",0.193237901377143,0.193237901377143,0.193237901377143
"Slackia",0.192141626577741,0.192141626577741,0.192141626577741
"Porphyromonas",0.177425565389428,0.177425565389428,0.177425565389428
"Prevotellaceae_unclassified",0.175472320056417,0.175472320056417,0.175472320056417
"Rothia",0.173901195089273,0.173901195089273,0.173901195089273
"Desulfovibrio",0.172021936456517,0.172021936456517,0.172021936456517
"Asaccharobacter",0.169345938580696,0.169345938580696,0.169345938580696
"Paraprevotella",0.168442971659765,0.168442971659765,0.168442971659765
"Lactobacillus",0.167353067582519,0.167353067582519,0.167353067582519
"Victivallis",0.164169301184436,0.164169301184436,0.164169301184436
"Acidaminococcaceae_unclassified",0.15670678351022,0.15670678351022,0.15670678351022
"Subdoligranulum",0.151944400852737,0.151944400852737,0.151944400852737
"Actinomyces",0.148903415503491,0.148903415503491,0.148903415503491
"Proteobacteria_unclassified",0.14562386085643,0.14562386085643,0.14562386085643
"Parvimonas",0.143610223263774,0.143610223263774,0.143610223263774
"Mogibacterium",0.142960324976727,0.142960324976727,0.142960324976727
"Eggerthella",0.14225463139177,0.14225463139177,0.14225463139177
"Acetanaerobacterium",0.140523844250342,0.140523844250342,0.140523844250342
"Deltaproteobacteria_unclassified",0.140119807905272,0.140119807905272,0.140119807905272
"Haemophilus",0.134853274305034,0.134853274305034,0.134853274305034
"Sporacetigenium",0.132427753196453,0.132427753196453,0.132427753196453
"Desulfovibrionaceae_unclassified",0.13114726941197,0.13114726941197,0.13114726941197
"Catenibacterium",0.12683610769476,0.12683610769476,0.12683610769476
"Puniceicoccaceae_unclassified",0.11654160530839,0.11654160530839,0.11654160530839
"Pseudoflavonifractor",0.108147333855991,0.108147333855991,0.108147333855991
"Gordonibacter",0.107276956138018,0.107276956138018,0.107276956138018
"Anaerococcus",0.105677335054503,0.105677335054503,0.105677335054503
"Alloprevotella",0.0987916054107492,0.0987916054107492,0.0987916054107492
"Actinomycetales_unclassified",0.0976619554549011,0.0976619554549011,0.0976619554549011
"Coprobacillus",0.0972342894055624,0.0972342894055624,0.0972342894055624
