"sens","spec","auc","study"
0.458333333333333,0.593023255813954,0.543507751937985,"baxter"
0.433333333333333,0.616279069767442,0.543507751937985,"baxter"
0.425,0.645348837209302,0.543507751937985,"baxter"
0.425,0.662790697674419,0.543507751937985,"baxter"
0.425,0.674418604651163,0.543507751937985,"baxter"
0.425,0.691860465116279,0.543507751937985,"baxter"
0.416666666666667,0.697674418604651,0.543507751937985,"baxter"
0.4,0.703488372093023,0.543507751937985,"baxter"
0.391666666666667,0.720930232558139,0.543507751937985,"baxter"
0.391666666666667,0.726744186046512,0.543507751937985,"baxter"
0.375,0.726744186046512,0.543507751937985,"baxter"
0.358333333333333,0.75,0.543507751937985,"baxter"
0.35,0.75,0.543507751937985,"baxter"
0.35,0.755813953488372,0.543507751937985,"baxter"
0.35,0.767441860465116,0.543507751937985,"baxter"
0.341666666666667,0.767441860465116,0.543507751937985,"baxter"
0.316666666666667,0.773255813953488,0.543507751937985,"baxter"
0.3,0.784883720930233,0.543507751937985,"baxter"
0.283333333333333,0.790697674418605,0.543507751937985,"baxter"
0.258333333333333,0.796511627906977,0.543507751937985,"baxter"
0.241666666666667,0.802325581395349,0.543507751937985,"baxter"
0.233333333333333,0.813953488372093,0.543507751937985,"baxter"
0.225,0.813953488372093,0.543507751937985,"baxter"
0.216666666666667,0.819767441860465,0.543507751937985,"baxter"
0.216666666666667,0.831395348837209,0.543507751937985,"baxter"
0.216666666666667,0.837209302325581,0.543507751937985,"baxter"
0.2,0.837209302325581,0.543507751937985,"baxter"
0.191666666666667,0.843023255813954,0.543507751937985,"baxter"
0.191666666666667,0.848837209302326,0.543507751937985,"baxter"
0.183333333333333,0.848837209302326,0.543507751937985,"baxter"
0.175,0.854651162790698,0.543507751937985,"baxter"
0.166666666666667,0.854651162790698,0.543507751937985,"baxter"
0.166666666666667,0.86046511627907,0.543507751937985,"baxter"
0.166666666666667,0.866279069767442,0.543507751937985,"baxter"
0.166666666666667,0.872093023255814,0.543507751937985,"baxter"
0.15,0.877906976744186,0.543507751937985,"baxter"
0.15,0.883720930232558,0.543507751937985,"baxter"
0.141666666666667,0.883720930232558,0.543507751937985,"baxter"
0.141666666666667,0.901162790697674,0.543507751937985,"baxter"
0.141666666666667,0.912790697674419,0.543507751937985,"baxter"
0.133333333333333,0.912790697674419,0.543507751937985,"baxter"
0.133333333333333,0.918604651162791,0.543507751937985,"baxter"
0.116666666666667,0.930232558139535,0.543507751937985,"baxter"
0.116666666666667,0.936046511627907,0.543507751937985,"baxter"
0.1,0.936046511627907,0.543507751937985,"baxter"
0.0916666666666667,0.941860465116279,0.543507751937985,"baxter"
0.075,0.941860465116279,0.543507751937985,"baxter"
0.0666666666666667,0.947674418604651,0.543507751937985,"baxter"
0.0583333333333333,0.947674418604651,0.543507751937985,"baxter"
0.0583333333333333,0.953488372093023,0.543507751937985,"baxter"
0.05,0.953488372093023,0.543507751937985,"baxter"
0.0416666666666667,0.953488372093023,0.543507751937985,"baxter"
0.0333333333333333,0.953488372093023,0.543507751937985,"baxter"
0.025,0.959302325581395,0.543507751937985,"baxter"
0.0166666666666667,0.959302325581395,0.543507751937985,"baxter"
0.00833333333333333,0.965116279069767,0.543507751937985,"baxter"
0.00833333333333333,0.970930232558139,0.543507751937985,"baxter"
0.00833333333333333,0.976744186046512,0.543507751937985,"baxter"
0.00833333333333333,0.982558139534884,0.543507751937985,"baxter"
0.00833333333333333,0.988372093023256,0.543507751937985,"baxter"
0,0.988372093023256,0.543507751937985,"baxter"
0,0.994186046511628,0.543507751937985,"baxter"
0,1,0.543507751937985,"baxter"
1,0,0.439660590823382,"flemer"
0.976744186046512,0,0.439660590823382,"flemer"
0.953488372093023,0,0.439660590823382,"flemer"
0.930232558139535,0.027027027027027,0.439660590823382,"flemer"
0.930232558139535,0.0540540540540541,0.439660590823382,"flemer"
0.930232558139535,0.0810810810810811,0.439660590823382,"flemer"
0.906976744186046,0.0810810810810811,0.439660590823382,"flemer"
0.883720930232558,0.0810810810810811,0.439660590823382,"flemer"
0.86046511627907,0.0810810810810811,0.439660590823382,"flemer"
0.86046511627907,0.135135135135135,0.439660590823382,"flemer"
0.837209302325581,0.135135135135135,0.439660590823382,"flemer"
0.813953488372093,0.135135135135135,0.439660590823382,"flemer"
