"measure","study","high_N","high_Y","low_N","low_Y"
"Corynebacterium","geng",5,3,3,5
"Dialister","burns",1,2,2,1
"Dialister","dejea",6,7,7,6
"Dialister","geng",1,6,7,2
"Dorea","burns",2,1,1,2
"Dorea","dejea",5,8,8,5
"Dorea","geng",5,3,3,5
"Eggerthella","burns",0,1,3,2
"Eggerthella","dejea",2,4,11,9
"Eggerthella","geng",2,0,6,8
"Eikenella","burns",0,0,3,3
"Eikenella","dejea",0,1,13,12
"Eikenella","geng",2,2,6,6
"Enhydrobacter","burns",0,0,3,3
"Enhydrobacter","dejea",5,2,8,11
"Enhydrobacter","geng",5,3,3,5
"Enterococcus","burns",0,0,3,3
"Enterococcus","dejea",1,0,12,13
"Enterococcus","geng",4,4,4,4
"Finegoldia","burns",1,1,2,2
"Finegoldia","dejea",0,2,13,11
"Finegoldia","geng",0,1,8,7
"Flavonifractor","burns",0,0,3,3
"Flavonifractor","dejea",5,8,8,5
"Flavonifractor","geng",1,1,7,7
"Fusobacterium","burns",1,2,2,1
"Fusobacterium","dejea",4,9,9,4
"Fusobacterium","geng",3,5,5,3
"Gemella","burns",2,1,1,2
"Gemella","dejea",3,8,10,5
"Gemella","geng",3,4,5,4
"Haemophilus","burns",0,1,3,2
"Haemophilus","dejea",1,0,12,13
"Haemophilus","geng",3,0,5,8
"Herbaspirillum","burns",0,0,3,3
"Herbaspirillum","dejea",3,0,10,13
"Herbaspirillum","geng",5,3,3,5
"Lachnoanaerobaculum","burns",0,0,3,3
"Lachnoanaerobaculum","dejea",1,3,12,10
"Lachnoanaerobaculum","geng",1,0,7,8
"Lactobacillus","burns",1,2,2,1
"Lactobacillus","dejea",2,1,11,12
"Lactobacillus","geng",1,7,7,1
"Lactococcus","burns",0,1,3,2
"Lactococcus","dejea",7,6,6,7
"Lactococcus","geng",0,1,8,7
"Leptotrichia","burns",0,0,3,3
"Leptotrichia","dejea",2,6,11,7
"Leptotrichia","geng",2,3,6,5
"Leuconostoc","burns",0,1,3,2
"Leuconostoc","dejea",6,4,7,9
"Leuconostoc","geng",1,1,7,7
"Mobiluncus","burns",0,1,3,2
"Mobiluncus","dejea",1,1,12,12
"Mobiluncus","geng",2,3,6,5
"Mogibacterium","burns",1,0,2,3
"Mogibacterium","dejea",0,2,13,11
"Mogibacterium","geng",0,1,8,7
"Odoribacter","burns",1,1,2,2
"Odoribacter","dejea",6,6,7,7
"Odoribacter","geng",3,4,5,4
"Oscillibacter","burns",1,1,2,2
"Oscillibacter","dejea",6,7,7,6
"Oscillibacter","geng",3,5,5,3
"Parabacteroides","burns",2,1,1,2
"Parabacteroides","dejea",8,5,5,8
"Parabacteroides","geng",4,4,4,4
"Paraprevotella","burns",0,0,3,3
"Paraprevotella","dejea",2,1,11,12
"Paraprevotella","geng",3,3,5,5
"Parasutterella","burns",1,0,2,3
"Parasutterella","dejea",5,6,8,7
"Parasutterella","geng",3,5,5,3
"Parvimonas","burns",2,1,1,2
"Parvimonas","dejea",3,6,10,7
"Parvimonas","geng",5,3,3,5
"Peptoniphilus","burns",2,1,1,2
"Peptoniphilus","dejea",0,2,13,11
"Peptoniphilus","geng",1,7,7,1
"Peptostreptococcus","burns",1,1,2,2
"Peptostreptococcus","dejea",3,8,10,5
"Peptostreptococcus","geng",3,2,5,6
"Porphyromonas","burns",1,2,2,1
"Porphyromonas","dejea",2,3,11,10
"Porphyromonas","geng",2,5,6,3
"Prevotella","burns",1,1,2,2
"Prevotella","dejea",6,7,7,6
"Prevotella","geng",3,5,5,3
"Propionibacterium","burns",1,2,2,1
"Propionibacterium","dejea",6,4,7,9
"Propionibacterium","geng",4,4,4,4
"Pyramidobacter","burns",0,0,3,3
"Pyramidobacter","dejea",2,1,11,12
"Pyramidobacter","geng",1,2,7,6
"Roseburia","burns",1,0,2,3
"Roseburia","dejea",7,6,6,7
"Roseburia","geng",3,5,5,3
"Ruminococcus","burns",0,1,3,2
"Ruminococcus","dejea",1,0,12,13
"Ruminococcus","geng",2,4,6,4
"Ruminococcus2","burns",1,1,2,2
"Ruminococcus2","dejea",5,8,8,5
"Ruminococcus2","geng",5,3,3,5
"Sphingomonas","burns",0,1,3,2
"Sphingomonas","dejea",5,6,8,7
"Sphingomonas","geng",5,2,3,6
"Streptococcus","burns",2,1,1,2
"Streptococcus","dejea",6,7,7,6
"Streptococcus","geng",3,5,5,3
"Subdoligranulum","burns",2,1,1,2
"Subdoligranulum","dejea",6,7,7,6
"Subdoligranulum","geng",2,2,6,6
"Sutterella","burns",2,1,1,2
"Sutterella","dejea",5,5,8,8
"Sutterella","geng",0,3,8,5
"Veillonella","burns",0,1,3,2
"Veillonella","dejea",2,1,11,12
"Veillonella","geng",2,6,6,2
