otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu0529,0.0035277777777777777,0,0.006905050505050503,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu0882,0.0035277777777777777,0,0.0059181818181818155,Firmicutes,Firmicutes,Firmicutes,weir
Otu1173,0.0035277777777777777,0,0.006857142857142858,Bacteroidetes,Rikenellaceae,Alistipes,weir
Otu1307,0.0035277777777777777,0,0.006817316017316017,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu2275,0.0035277777777777777,0,0.006823809523809524,Firmicutes,Clostridiales,Clostridiales,weir
Otu3605,0.0035277777777777777,0,0.006545454545454545,Bacteria,Bacteria,Bacteria,weir
Otu0037,0.0035,0,0.0068174603174603185,Bacteroidetes,Prevotellaceae,Prevotella,weir
Otu0153,0.0035,0,0.006446428571428571,Bacteria,Bacteria,Bacteria,weir
Otu0183,0.0035,0,0.0067619047619047615,Firmicutes,Clostridiales,Clostridiales,weir
Otu0326,0.0035,0,0.005378282828282828,Firmicutes,Ruminococcaceae,Sporobacter,weir
Otu0525,0.0035,0,0.0069659090909090894,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0565,0.0035,0,0.005785714285714285,Bacteroidetes,Porphyromonadaceae,Barnesiella,weir
Otu0709,0.0035,0,0.006579545454545454,Firmicutes,Veillonellaceae,Megamonas,weir
Otu0817,0.0035,0,0.005281818181818179,Firmicutes,Clostridiales,Clostridiales,weir
Otu0846,0.0035,0,0.006222222222222221,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0927,0.0035,0,0.006042857142857143,Bacteroidetes,Prevotellaceae,Prevotellaceae,weir
Otu1061,0.0035,0,0.0063030303030303025,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu1106,0.0035,0,0.006910930735930735,Firmicutes,Firmicutes,Firmicutes,weir
Otu1323,0.0035,0,0.007145743145743146,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu1375,0.0035,0,0.005674025974025974,Firmicutes,Lachnospiraceae,Roseburia,weir
Otu1403,0.0035,0,0.00651212121212121,Firmicutes,Lachnospiraceae,Coprococcus,weir
Otu1546,0.0035,0,0.006432792207792207,Firmicutes,Clostridiales,Clostridiales,weir
Otu1587,0.0035,0,0.0053156565656565635,Firmicutes,Clostridiales,Clostridiales,weir
Otu1745,0.0035,0,0.0056376623376623355,Firmicutes,Clostridiales,Clostridiales,weir
Otu1858,0.0035,0,0.006545454545454545,Firmicutes,Clostridiales,Clostridiales,weir
Otu1868,0.0035,0,0.006953787878787878,Firmicutes,Clostridiales,Clostridiales,weir
Otu2271,0.0035,0,0.006288888888888888,Firmicutes,Clostridiales,Clostridiales,weir
Otu2297,0.0035,0,0.005952380952380952,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu2539,0.0035,0,0.006579545454545454,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu2816,0.0035,0,0.0071222222222222225,Bacteroidetes,Bacteroidales,Bacteroidales,weir
Otu2968,0.0035,0,0.006,Firmicutes,Firmicutes,Firmicutes,weir
Otu3281,0.0035,0,0.006078030303030302,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu3407,0.0035,0,0.006912698412698414,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu3624,0.0035,0,0.006282828282828282,Bacteria,Bacteria,Bacteria,weir
Otu3755,0.0035,0,0.006545454545454545,Bacteria,Bacteria,Bacteria,weir
Otu0121,0.0034642857142857145,0,0.0077819264069264055,Firmicutes,Peptostreptococcaceae,Clostridium_XI,weir
Otu0175,0.0034642857142857145,0,0.0052121212121212105,Firmicutes,Firmicutes,Firmicutes,weir
Otu0242,0.0034642857142857145,0,0.005972727272727272,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0452,0.0034642857142857145,0,0.003959595959595961,Firmicutes,Clostridiales,Clostridiales,weir
Otu0519,0.0034642857142857145,0,0.005828643578643577,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0642,0.0034642857142857145,0,0.006700252525252526,Bacteroidetes,Prevotellaceae,Prevotella,weir
Otu1352,0.0034642857142857145,0,0.005171717171717169,Firmicutes,Lachnospiraceae,Roseburia,weir
Otu1815,0.0034642857142857145,0,0.005842424242424239,Firmicutes,Clostridiales,Clostridiales,weir
Otu2231,0.0034642857142857145,0,0.006545454545454545,Firmicutes,Clostridiales,Clostridiales,weir
Otu2272,0.0034642857142857145,0,0.006394696969696969,Firmicutes,Clostridiales,Clostridiales,weir
Otu2515,0.0034642857142857145,0,0.006004292929292927,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu0311,0.003454545454545454,0,0.006752525252525253,Firmicutes,Clostridiales,Clostridiales,weir
Otu0191,0.003428571428571429,0,0.006393939393939393,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0612,0.003428571428571429,0,0.0055742424242424225,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0747,0.003428571428571429,0,0.0058234126984126975,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu1373,0.003428571428571429,0,0.006546212121212119,Firmicutes,Lachnospiraceae,Ruminococcus,weir
Otu1975,0.003428571428571429,0,0.0065085137085137065,Verrucomicrobia,Verrucomicrobiaceae,Akkermansia,weir
Otu2236,0.003428571428571429,0,0.006017857142857143,Firmicutes,Clostridiales,Clostridiales,weir
Otu2482,0.003428571428571429,0,0.005625,Firmicutes,Ruminococcaceae,Subdoligranulum,weir
Otu2972,0.003428571428571429,0,0.006236363636363635,Firmicutes,Firmicutes,Firmicutes,weir
Otu3082,0.003428571428571429,0,0.004974747474747474,Proteobacteria,Sutterellaceae,Sutterella,weir
Otu3514,0.003428571428571429,0,0.007416125541125542,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu3542,0.003428571428571429,0,0.006239935064935065,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu3604,0.003428571428571429,0,0.0060606060606060615,Bacteria,Bacteria,Bacteria,weir
Otu3608,0.003428571428571429,0,0.006014646464646462,Bacteria,Bacteria,Bacteria,weir
Otu0428,0.0034188311688311684,0,0.006247222222222222,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0595,0.0034188311688311684,0,0.006545454545454545,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu1310,0.0034188311688311684,0,0.005324675324675323,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu2123,0.0034188311688311684,0,0.0059454545454545454,Firmicutes,Clostridiales,Clostridiales,weir
Otu3107,0.0034188311688311684,0,0.006681818181818182,Bacteroidetes,Porphyromonadaceae,Barnesiella,weir
Otu3550,0.0034188311688311684,0,0.005804365079365078,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu3698,0.003416666666666667,0,0.006579545454545454,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu3081,0.0034090909090909085,0,0.006184126984126985,Proteobacteria,Sutterellaceae,Sutterella,weir
Otu3178,0.0034090909090909085,0,0.0055,Bacteria,Bacteria,Bacteria,weir
Otu0057,0.003380952380952381,0,0.005841161616161615,Bacteroidetes,Bacteroidetes,Bacteroidetes,weir
Otu0743,0.003380952380952381,0,0.006977272727272728,Firmicutes,Lachnospiraceae,Anaerostipes,weir
Otu0761,0.003380952380952381,0,0.004974747474747474,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu1378,0.003380952380952381,0,0.006214682539682541,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu1833,0.003380952380952381,0,0.006109126984126984,Firmicutes,Clostridiales,Clostridiales,weir
Otu2116,0.003380952380952381,0,0.005307359307359306,Firmicutes,Clostridiales,Clostridiales,weir
Otu2356,0.003380952380952381,0,0.005324675324675323,Firmicutes,Ruminococcaceae,Ruminococcaceae,weir
Otu2740,0.003380952380952381,0,0.005638636363636362,Firmicutes,Firmicutes,Firmicutes,weir
Otu3108,0.003380952380952381,0,0.005171717171717169,Bacteroidetes,Porphyromonadaceae,Parabacteroides,weir
Otu2124,0.003376623376623376,0,0.005764357864357863,Firmicutes,Clostridiales,Clostridiales,weir
Otu0066,0.0033712121212121212,0,0.006996969696969697,Firmicutes,Lachnospiraceae,Lachnospiraceae,weir
Otu0382,0.0033712121212121212,0,0.005941666666666666,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,weir
Otu1075,0.0033712121212121212,0,0.006902777777777777,Firmicutes,Lachnospiraceae,Roseburia,weir
Otu2227,0.0033712121212121212,0,0.005171717171717169,Firmicutes,Clostridiales,Clostridiales,weir
Otu2252,0.0033712121212121212,0,0.0057281385281385275,Firmicutes,Clostridiales,Clostridiales,weir
Otu0235,0.003333333333333334,0,0.005171717171717169,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu0381,0.003333333333333334,0,0.005714285714285713,Firmicutes,Clostridiales,Clostridiales,weir
Otu0429,0.003333333333333334,0,0.006050000000000001,Firmicutes,Clostridiales,Clostridiales,weir
Otu1048,0.003333333333333334,0,0.006341666666666667,Bacteroidetes,Bacteroidaceae,Bacteroides,weir
Otu1180,0.003333333333333334,0,0.005852272727272727,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,weir
