otu,mda_median,iqr25,iqr75,study,rank
Lactobacillales_unclassified,0.19868991008991,0.19868991008991,0.19868991008991,dejea,19
Roseburia,0.197313385341868,0.197313385341868,0.197313385341868,dejea,20
Dorea,0.195687983722504,0.195687983722504,0.195687983722504,dejea,21
Weissella,0.173172857066208,0.173172857066208,0.173172857066208,dejea,22
Blautia,0.173113871216503,0.173113871216503,0.173113871216503,dejea,23
Oscillibacter,0.172386811365449,0.172386811365449,0.172386811365449,dejea,24
Proteobacteria_unclassified,0.165476022713471,0.165476022713471,0.165476022713471,dejea,25
Dialister,0.154456924723024,0.154456924723024,0.154456924723024,dejea,26
Leuconostoc,0.151882339006023,0.151882339006023,0.151882339006023,dejea,27
Clostridiales_unclassified,0.149327241042411,0.149327241042411,0.149327241042411,dejea,28
Lactococcus,0.146517964767319,0.146517964767319,0.146517964767319,dejea,29
Streptococcus,0.137274603758814,0.137274603758814,0.137274603758814,dejea,30
Anaerostipes,0.136943262781101,0.136943262781101,0.136943262781101,dejea,31
Clostridia_unclassified,0.130832930880609,0.130832930880609,0.130832930880609,dejea,32
Ruminococcaceae_unclassified,0.130140258348463,0.130140258348463,0.130140258348463,dejea,33
Lachnospiraceae_unclassified,0.127545743936146,0.127545743936146,0.127545743936146,dejea,34
Veillonellaceae_unclassified,0.124433533150716,0.124433533150716,0.124433533150716,dejea,35
Leptotrichia,0.120122084932611,0.120122084932611,0.120122084932611,dejea,36
Flavobacteriaceae_unclassified,0.119348577892696,0.119348577892696,0.119348577892696,dejea,37
Betaproteobacteria_unclassified,0.116610382977875,0.116610382977875,0.116610382977875,dejea,38
Firmicutes_unclassified,0.114478723237547,0.114478723237547,0.114478723237547,dejea,39
Bacteroides,0.111623215673216,0.111623215673216,0.111623215673216,dejea,40
Clostridium_IV,0.107954449626741,0.107954449626741,0.107954449626741,dejea,41
Clostridium_XI,0.107544625790446,0.107544625790446,0.107544625790446,dejea,42
Parvimonas,0.106641195062248,0.106641195062248,0.106641195062248,dejea,43
Clostridiales_Incertae_Sedis_XI_unclassified,0.105863636088714,0.105863636088714,0.105863636088714,dejea,44
Enhydrobacter,0.104139899952129,0.104139899952129,0.104139899952129,dejea,45
Alistipes,0.0965859574549977,0.0965859574549977,0.0965859574549977,dejea,46
Comamonadaceae_unclassified,0.088665685028392,0.088665685028392,0.088665685028392,dejea,47
Holdemania,0.0876244660224536,0.0876244660224536,0.0876244660224536,dejea,48
Clostridium_XVIII,0.0857726763604473,0.0857726763604473,0.0857726763604473,dejea,49
Ethanoligenens,0.0841442067736185,0.0841442067736185,0.0841442067736185,dejea,50
Prevotellaceae_unclassified,0.0836899871489991,0.0836899871489991,0.0836899871489991,dejea,51
Odoribacter,0.0825644021441235,0.0825644021441235,0.0825644021441235,dejea,52
Erysipelotrichaceae_unclassified,0.0811940004440004,0.0811940004440004,0.0811940004440004,dejea,53
Pasteurellaceae_unclassified,0.0807524101629365,0.0807524101629365,0.0807524101629365,dejea,54
Eggerthella,0.0769677351663756,0.0769677351663756,0.0769677351663756,dejea,55
Prevotella,0.0737785997971756,0.0737785997971756,0.0737785997971756,dejea,56
Butyricimonas,0.0731042648270202,0.0731042648270202,0.0731042648270202,dejea,57
Aeromonas,0.0729248897555534,0.0729248897555534,0.0729248897555534,dejea,58
Coriobacteriaceae_unclassified,0.0717809293046135,0.0717809293046135,0.0717809293046135,dejea,59
Actinomycetales_unclassified,0.071323045856792,0.071323045856792,0.071323045856792,dejea,60
Acidovorax,0.0709800129694867,0.0709800129694867,0.0709800129694867,dejea,61
Anaerofilum,0.0696813771278302,0.0696813771278302,0.0696813771278302,dejea,62
Selenomonadales_unclassified,0.0654355335411063,0.0654355335411063,0.0654355335411063,dejea,63
