otu,mda_median,iqr25,iqr75
Otu000092,0.5668631947570798,0.5107158115700376,0.6301183022229764
Otu000013,0.5499024938396746,0.4941554222742376,0.6006412979643717
Otu000048,0.5412331893216081,0.4565996071600487,0.5794513972069176
Otu000082,0.5180348410782123,0.45775812879103517,0.5723643772082259
Otu000076,0.48362283327993566,0.4453421370458639,0.5492050874755863
Otu000006,0.4826327495899907,0.4368961209509952,0.5384867432898728
Otu000023,0.4791907307457794,0.4345453822319043,0.5273701132465712
Otu000015,0.4780310893594466,0.4276105947454927,0.5138251725888886
Otu000007,0.4698403990413991,0.41009521396010934,0.5214961720400828
Otu000019,0.4642523346358255,0.4227518332997092,0.49476372233067845
Otu317812,0.46029376502251307,0.401443850738654,0.524614934202845
Otu000028,0.4440549424982607,0.40540622552787803,0.49473788796853224
Otu000212,0.44067555011741866,0.38666738669048606,0.5034109412622624
Otu000393,0.43178046112229435,0.3587953970584177,0.4830774936373171
Otu000027,0.42307713265498814,0.3955829363215136,0.48420197554610633
Otu000253,0.42014318190477734,0.3826397536321169,0.48770967459939685
Otu000172,0.41956075475294563,0.3650946123172092,0.4456278273292027
Otu000016,0.41928567166643027,0.37161636988070323,0.4484955480764634
Otu000230,0.4142838802684777,0.37037250432486785,0.4599043492066578
Otu000117,0.41375396008181925,0.35720453498512084,0.46015792222838875
Otu000040,0.4121322764938894,0.36550874779107373,0.45805998702896733
Otu000055,0.4119179657438219,0.3633926646417469,0.4671288220493603
Otu000124,0.40566308529268746,0.36520885016464066,0.458633358263766
Otu000146,0.4043571914276608,0.35176493290324967,0.460737427210129
Otu000080,0.3956591789552606,0.34769781461610344,0.43095068750488164
Otu000229,0.38710255803490273,0.3419150939021213,0.4528342217460658
Otu000060,0.37351152000954313,0.3113146201760442,0.4106175610597952
Otu000104,0.3600587997139294,0.3241292375996445,0.4123499969831323
Otu000025,0.3493255537719968,0.3177749820198614,0.3787116798088976
Otu000074,0.3480525724796312,0.3156382986952148,0.3801503614320828
Otu000030,0.34126945872440895,0.2995738533803922,0.381157716033105
Otu000067,0.329292326123658,0.300338933234159,0.37524306633023996
Otu000139,0.3282639375849393,0.28862836964986094,0.3813215021283731
Otu000289,0.32731147013566153,0.28193108016804913,0.37316320438609685
Otu000053,0.32558144958064006,0.29538100340886086,0.3687886044346178
Otu000132,0.32534435260826866,0.28985026410449294,0.36964409321496733
Otu000070,0.3222857822841156,0.2907189263885557,0.37060278568321314
Otu000005,0.32168385347687584,0.2863329001512273,0.3626960109421016
Otu000138,0.31810450699013276,0.28737638036734015,0.3624652594593423
Otu000066,0.31405953049738566,0.27180880297548266,0.35705733595312
Otu000062,0.31294783067611837,0.2810854576927512,0.3601038546813811
Otu000298,0.31159501262050576,0.27799259394364245,0.37226305701199647
Otu000333,0.3095885874972346,0.25896252410888654,0.3465645842592165
Otu000099,0.3083801328087721,0.27315375987374707,0.3519379709185221
Otu000134,0.3069851459018663,0.26859464610323797,0.35469880444597635
Otu000032,0.3039945572389595,0.26967595019698754,0.3398182274170791
Otu000167,0.30130841017593396,0.2589047761899062,0.34205430900087996
Otu000106,0.29880069152940014,0.2744648573121158,0.34524608547849295
Otu000180,0.29792964837075375,0.2715689194062497,0.33642018237810667
Otu000219,0.29791658525240733,0.25045286488452245,0.3341170376565309
Otu000156,0.29710280174055964,0.25055837460977043,0.3394488789950537
Otu346630,0.29687778726275216,0.25556543843903673,0.35104827061919186
Otu000058,0.29685494922362377,0.2716217005049344,0.33638271136955533
Otu000011,0.29596451743755325,0.25914903936243444,0.3285077582032754
Otu000059,0.29484203977024176,0.2661165095947186,0.31930541679650065
Otu000038,0.29257989674940543,0.257347534795371,0.32996633268283426
Otu000018,0.28342952148871026,0.2397291683554048,0.31819791737614644
Otu000187,0.28102829437991345,0.2477722194849787,0.31651958897011645
Otu000136,0.28028601376725926,0.2540023619668784,0.31184448122281855
Otu000046,0.2802846802220358,0.26371829500364136,0.3229019843615069
Otu000073,0.27382693401982117,0.2415746243304932,0.3070145076551257
Otu000116,0.2725047656206829,0.22964670323250239,0.2979304242135295
Otu000072,0.2683574523183871,0.2489400058788726,0.30204980609751836
Otu000085,0.26715164541854064,0.23085759445665904,0.2981068165735379
Otu000118,0.2636317994788924,0.24314959515341042,0.30087786067603145
Otu000107,0.2573496952065554,0.23066133544103795,0.29704649231080754
Otu000161,0.2565572570926319,0.22502843056886368,0.28073052585648134
Otu000354,0.2563875425753942,0.2278227298368888,0.290152579969375
