"measure","study","high_N","high_Y","low_N","low_Y"
"Gallicola","lu",0,1,20,19
"Gammaproteobacteria_unclassified","flemer",34,19,69,18
"Gammaproteobacteria_unclassified","lu",10,10,10,10
"Gemella","flemer",32,17,71,20
"Gemella","lu",8,7,12,13
"Gemmiger","flemer",54,16,49,21
"Gemmiger","lu",10,10,10,10
"Gordonia","flemer",1,0,102,37
"Gordonia","lu",1,0,19,20
"Granulicatella","flemer",28,22,75,15
"Granulicatella","lu",9,8,11,12
"Haemophilus","flemer",41,29,62,8
"Haemophilus","lu",10,10,10,10
"Hafnia","flemer",0,0,103,37
"Hafnia","lu",9,11,11,9
"Hallella","flemer",14,10,89,27
"Hallella","lu",2,1,18,19
"Halomonadaceae_unclassified","flemer",46,24,57,13
"Halomonadaceae_unclassified","lu",11,9,9,11
"Halomonas","flemer",46,24,57,13
"Halomonas","lu",13,7,7,13
"Helcococcus","flemer",1,0,102,37
"Helcococcus","lu",8,12,12,8
"Holdemania","flemer",50,19,53,18
"Holdemania","lu",6,2,14,18
"Howardella","flemer",23,20,80,17
"Howardella","lu",1,1,19,19
"Hymenobacter","flemer",1,0,102,37
"Hymenobacter","lu",1,0,19,20
"Intrasporangiaceae_unclassified","flemer",0,0,103,37
"Intrasporangiaceae_unclassified","lu",1,2,19,18
"Janthinobacterium","flemer",0,1,103,36
"Janthinobacterium","lu",10,10,10,10
"Jeotgalicoccus","flemer",1,0,102,37
"Jeotgalicoccus","lu",5,1,15,19
"Kingella","flemer",1,1,102,36
"Kingella","lu",1,0,19,20
"Klebsiella","flemer",15,7,88,30
"Klebsiella","lu",11,6,9,14
"Kocuria","flemer",1,2,102,35
"Kocuria","lu",7,7,13,13
"Lachnoanaerobaculum","flemer",11,2,92,35
"Lachnoanaerobaculum","lu",3,3,17,17
"Lachnospira","flemer",49,21,54,16
"Lachnospira","lu",12,8,8,12
"Lachnospiraceae_unclassified","flemer",61,9,42,28
"Lachnospiraceae_unclassified","lu",12,8,8,12
"Lactobacillaceae_unclassified","flemer",9,1,94,36
"Lactobacillaceae_unclassified","lu",2,3,18,17
"Lactobacillales_unclassified","flemer",27,15,76,22
"Lactobacillales_unclassified","lu",12,8,8,12
"Lactobacillus","flemer",18,9,85,28
"Lactobacillus","lu",6,14,14,6
"Lactococcus","flemer",3,3,100,34
"Lactococcus","lu",7,13,13,7
