otu,mda_median,iqr25,iqr75,phylum,family,genus,study
Otu08697,0.0037573529411764712,0,0.008772814142379357,Firmicutes,Lactobacillaceae,Lactobacillaceae,lu
Otu00337,0.0037555555555555563,0,0.00889281135531135,Proteobacteria,Desulfovibrionaceae,Desulfovibrionaceae,lu
Otu07894,0.0037555555555555563,0,0.008708081491490837,Firmicutes,Leuconostocaceae,Leuconostocaceae,lu
Otu00736,0.00375,0,0.010136876449504536,Proteobacteria,Halomonadaceae,Halomonadaceae,lu
Otu08858,0.00375,0,0.008853623576967494,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09207,0.00375,0,0.007145587984297661,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01900,0.003749019607843138,0,0.007200751879699251,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu05042,0.003749019607843138,0,0.007078008658008658,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu04755,0.003746031746031747,0,0.007209523809523812,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00655,0.003741666666666667,0,0.009505235915876653,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu02082,0.003741666666666667,0,0.007948262813897485,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03913,0.003741666666666667,0,0.007651095995661216,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09091,0.003739495798319329,0,0.007308572918627262,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00764,0.0037358974358974385,0,0.009756072874493926,Proteobacteria,Neisseriaceae,Neisseriaceae,lu
Otu01042,0.003735042735042736,0,0.009194381270903013,Actinobacteria,Nitriliruptoraceae,Nitriliruptoraceae,lu
Otu02730,0.003733333333333334,0,0.007819887285057562,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09096,0.003733333333333334,0,0.007582301341589268,Proteobacteria,Pasteurellaceae,Pasteurellaceae,lu
Otu02202,0.0037238095238095246,0,0.007071895424836601,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu04460,0.0037238095238095246,0,0.007354927536231883,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09620,0.0037238095238095246,0,0.007454545454545455,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00458,0.0037211538461538467,0,0.007501163542340015,Firmicutes,Leuconostocaceae,Leuconostocaceae,lu
Otu02064,0.0037211538461538467,0,0.007039473684210527,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu08978,0.0037211538461538467,0,0.00791379446640316,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09336,0.0037211538461538467,0,0.006962499999999998,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu01251,0.003714285714285715,0,0.009347852953498112,Firmicutes,Clostridiales,Clostridiales,lu
Otu00228,0.003712820512820514,0,0.00880478330063469,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu00309,0.003712820512820514,0,0.00718452380952381,Firmicutes,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI,lu
Otu01309,0.003712820512820514,0,0.007324103501244769,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu08757,0.003712820512820514,0,0.006796764346764344,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu08785,0.003712820512820514,0,0.00760383244206774,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03642,0.003708333333333334,0,0.008103939354363803,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01460,0.0037032967032967043,0,0.008705607333842631,Proteobacteria,Halomonadaceae,Halomonadaceae,lu
Otu01976,0.0037032967032967043,0,0.007402380952380954,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,lu
Otu03554,0.0037032967032967043,0,0.007675003785186341,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu08356,0.0037032967032967043,0,0.007628921568627449,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01472,0.0037005347593582895,0,0.008964273504273503,Firmicutes,Bacillaceae_,Bacillaceae_,lu
Otu00583,0.0036947368421052645,0,0.008322916666666668,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu00902,0.0036931818181818185,0,0.009477661064425772,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,lu
Otu09221,0.0036931818181818185,0,0.007087844611528822,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00635,0.0036904761904761915,0,0.009340106951871659,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu04125,0.0036848484848484853,0,0.009077396033917773,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00236,0.0036794871794871807,0,0.00790625,Firmicutes,Ruminococcaceae,Ruminococcaceae,lu
Otu00510,0.0036794871794871807,0,0.007359140859140861,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu01513,0.0036794871794871807,0,0.008690151515151515,Firmicutes,Lactobacillaceae,Lactobacillaceae,lu
Otu02474,0.003675324675324676,0,0.0077960239651416125,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03083,0.003675324675324676,0,0.00733888888888889,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03844,0.0036752688172043014,0,0.0073682779198636,Proteobacteria,Sutterellaceae,Sutterellaceae,lu
Otu01751,0.003666666666666668,0,0.00720375457875458,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae,lu
Otu01808,0.003666666666666668,0,0.006593181818181823,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01757,0.0036629797218032502,0,0.007253398895790198,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00816,0.003651515151515152,0,0.00801082251082251,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01910,0.003651515151515152,0,0.007334469582704875,Proteobacteria,Neisseriaceae,Neisseriaceae,lu
Otu02578,0.003644444444444445,0,0.008166547619047617,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03152,0.0036419354838709683,0,0.008990508511096746,Proteobacteria,Shewanellaceae,Shewanellaceae,lu
Otu01471,0.003634920634920635,0,0.008778787878787877,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01481,0.0036333333333333348,0,0.007620238095238095,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02228,0.0036333333333333348,0,0.007324797598640515,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu08875,0.0036333333333333348,0,0.00750469696969697,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02297,0.0036267839687194525,0,0.007432007364616056,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00201,0.0036239316239316246,0,0.008666823308270677,Proteobacteria,Sutterellaceae,Sutterellaceae,lu
Otu04226,0.0036239316239316246,0,0.00824593837535014,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03940,0.003613748320644875,0,0.0065007519292301875,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00361,0.003611111111111112,0,0.008072101449275367,Actinobacteria,Bifidobacteriaceae,Bifidobacteriaceae,lu
Otu04257,0.0036107660455486548,0,0.007857238843813386,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00015,0.0036071428571428574,0,0.009667099567099569,Bacteroidetes,Prevotellaceae,Prevotellaceae,lu
Otu07194,0.0035988085988085975,0,0.006636707257273616,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02254,0.0035966386554621855,0,0.009466666666666667,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02812,0.003595959595959596,0,0.006945454545454545,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02940,0.003595959595959596,0,0.007157894736842106,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu04590,0.003595959595959596,0,0.007580077269057776,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00529,0.003589285714285714,0,0.008839620630861036,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu08872,0.003589236850106413,0,0.007390313390313392,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02787,0.003583926290822845,0,0.00721103678929766,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02390,0.00358151515151515,0,0.00841988095238095,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02748,0.00358151515151515,0,0.0076735449735449756,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu04897,0.0035723076923076923,0,0.0059957264957264935,Firmicutes,Ruminococcaceae,Ruminococcaceae,lu
Otu08142,0.0035681818181818184,0,0.006844362745098039,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03956,0.0035661375661375653,0,0.0069451923076923085,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00779,0.0035633333333333324,0,0.007569960212201593,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02100,0.0035633333333333324,0,0.009169575060954373,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae,lu
Otu09341,0.0035633333333333324,0,0.006424060150375938,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03947,0.003561264822134385,0,0.0074234639199809455,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02743,0.0035536231884057976,0,0.00907936507936508,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu02698,0.003552934472934471,0,0.006472222222222221,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03052,0.003552934472934471,0,0.006801318681318681,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu00456,0.0035500854700854694,0,0.007311534291135808,Firmicutes,Veillonellaceae,Veillonellaceae,lu
Otu00803,0.0035500854700854694,0,0.006969230769230771,Bacteroidetes,Flavobacteriaceae,Flavobacteriaceae,lu
Otu00338,0.003550000000000001,0,0.00792037786774629,Actinobacteria,Micrococcaceae,Micrococcaceae,lu
Otu09598,0.0035455665024630573,0,0.007481784005468216,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03483,0.0035446153846153835,0,0.00878471396118455,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu00507,0.0035430830039525673,0,0.007165476190476191,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu01649,0.0035411111111111095,0,0.006593181818181823,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00935,0.0035356410256410236,0,0.008006688963210704,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu04434,0.0035356410256410236,0,0.00815952380952381,Actinobacteria,Micrococcaceae,Micrococcaceae,lu
Otu04174,0.003534249969032576,0,0.0062233333333333325,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu05938,0.0035316017316017324,0,0.006337173202614379,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02261,0.0035223076923076918,0,0.007047077922077918,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00345,0.0035208607817303443,0,0.007687499999999995,Firmicutes,Clostridiaceae_,Clostridiaceae_,lu
Otu02154,0.0035074074074074096,0,0.006313153513153511,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu03963,0.003507246376811594,0,0.007343650793650795,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02509,0.003503623188405797,0,0.007206118791602663,Firmicutes,Ruminococcaceae,Ruminococcaceae,lu
Otu03395,0.003503623188405797,0,0.0073755152293982894,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00717,0.00350030303030303,0,0.007529895814125025,Bacteroidetes,Flavobacteriaceae,Flavobacteriaceae,lu
Otu00615,0.0035,0,0.007275072477431821,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu01651,0.0035,0,0.008660714285714287,Firmicutes,Clostridiaceae_,Clostridiaceae_,lu
Otu01998,0.0035,0,0.0058440303657695,Bacteroidetes,Rikenellaceae,Rikenellaceae,lu
Otu01572,0.0034967061923583636,0,0.0084869369369369365,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu01663,0.0034967061923583636,0,0.008199790209790208,Firmicutes,Listeriaceae,Listeriaceae,lu
Otu02354,0.0034949350649350636,0,0.007275457875457878,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu08707,0.0034949350649350636,0,0.006683229813664593,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu08700,0.0034930830039525667,0,0.006760579710144927,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09219,0.0034930830039525667,0,0.0068714285714285735,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00416,0.003486593406593406,0,0.00862437343358396,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu01279,0.003486593406593406,0,0.007782352941176469,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02373,0.003485224920007529,0,0.007283994708994706,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02599,0.003485224920007529,0,0.008670532915360504,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu07182,0.003485224920007529,0,0.005674458689458688,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01101,0.0034848484848484856,0,0.006760569985569984,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,lu
Otu00194,0.0034816017316017314,0,0.008629828504828508,Firmicutes,Ruminococcaceae,Ruminococcaceae,lu
Otu01053,0.0034816017316017314,0,0.008182142857142855,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00279,0.0034746847355542985,0,0.006669521299956081,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu08202,0.0034706852601589433,0,0.007273809523809526,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09273,0.0034690476190476216,0,0.007225037593984963,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00329,0.0034679089026915114,0,0.0075970440807902094,Proteobacteria,Burkholderiales,Burkholderiales,lu
Otu01968,0.0034678362573099418,0,0.007782352941176469,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu08116,0.003463203463203463,0,0.007083591331269352,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09377,0.003463203463203463,0,0.006885721396156173,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03650,0.0034621306230001887,0,0.007290372670807452,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu09031,0.0034621306230001887,0,0.006920003216597645,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00726,0.0034588863463005347,0,0.007544922341696536,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu04081,0.003457368718238281,0,0.007179082348226807,Bacteroidetes,Flavobacteriaceae,Flavobacteriaceae,lu
Otu02656,0.0034506493506493534,0,0.00711437908496732,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02952,0.0034506493506493534,0,0.007200595238095243,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu04238,0.0034506493506493534,0,0.006163046757164403,Proteobacteria,Rhizobiaceae,Rhizobiaceae,lu
Otu07998,0.0034506493506493534,0,0.007165831244778614,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01617,0.003445887445887446,0,0.00668799603174603,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu04503,0.003440058479532164,0,0.007760349759995068,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu08811,0.0034380952380952436,0,0.00691512605042017,Firmicutes,Erysipelotrichaceae,Erysipelotrichaceae,lu
Otu03219,0.003436864889496469,0,0.007047076023391814,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,lu
Otu08052,0.003436864889496469,0,0.00821566917421055,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu09270,0.003436864889496469,0,0.00637721995888104,Proteobacteria,Pseudomonadaceae,Pseudomonadaceae,lu
Otu01987,0.0034331414834847303,0,0.0072878787878787885,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00955,0.00343218954248366,0,0.010285620300751877,Fusobacteria,Fusobacteriaceae,Fusobacteriaceae,lu
Otu03932,0.003429999999999999,0,0.006863095238095237,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00446,0.003428571428571429,0,0.009343173043173048,Bacteroidetes,Flavobacteriaceae,Flavobacteriaceae,lu
Otu01305,0.0034232026143790843,0,0.0069190476190476215,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu03421,0.0034216602111338955,0,0.007123490338164251,Proteobacteria,Xanthomonadaceae,Xanthomonadaceae,lu
Otu01626,0.0034186478189476687,0,0.007982635912474622,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu03040,0.0034105263157894754,0,0.0068714285714285735,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu04470,0.0034105263157894754,0,0.0077934149890856175,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02694,0.0034091060985797857,0,0.007258116883116885,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02487,0.0034043441938178785,0,0.007280423280423281,Bacteroidetes,Bacteroidaceae,Bacteroidaceae,lu
Otu01224,0.0033857142857142888,0,0.008275058275058275,Proteobacteria,Moraxellaceae,Moraxellaceae,lu
Otu01207,0.003380952380952381,0,0.007783185434911777,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu02707,0.0033764163372858994,0,0.0066866999487967226,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu08305,0.0033758241758241755,0,0.006821428571428572,Proteobacteria,Rhizobiales,Rhizobiales,lu
Otu00663,0.0033686974789915967,0,0.006448395721925132,Firmicutes,Lachnospiraceae,Lachnospiraceae,lu
Otu02765,0.00335967492260062,0,0.00741,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu04444,0.003356725146198831,0,0.006857142857142858,Actinobacteria,Micrococcaceae,Micrococcaceae,lu
Otu02236,0.003355311355311353,0,0.006782529239766082,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01035,0.003346405228758169,0,0.006907915456191317,Proteobacteria,Enterobacteriaceae,Enterobacteriaceae,lu
Otu09111,0.003346405228758169,0,0.006706593406593405,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01431,0.003333333333333334,0,0.0070244461420932,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu01468,0.003333333333333334,0,0.006958913369239459,Firmicutes,Carnobacteriaceae,Carnobacteriaceae,lu
Otu03514,0.003333333333333334,0,0.005860836120401339,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu07854,0.0033285714285714307,0,0.007392762613730357,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu05683,0.003325500586370149,0,0.006694841897233202,Firmicutes,Streptococcaceae,Streptococcaceae,lu
Otu00982,0.003320105820105822,0,0.008050250812869001,Firmicutes,Listeriaceae,Listeriaceae,lu
Otu00652,0.003319436395247754,0,0.005016006216006215,Actinobacteria,Coriobacteriaceae,Coriobacteriaceae,lu
Otu08431,0.003319436395247754,0,0.006003478260869568,Firmicutes,Streptococcaceae,Streptococcaceae,lu
