"otu","mda_median","iqr25","iqr75"
"Rothia",0.310705071050984,0.310705071050984,0.310705071050984
"Desulfovibrionaceae_unclassified",0.299432420652422,0.299432420652422,0.299432420652422
"Enterococcus",0.288381430511855,0.288381430511855,0.288381430511855
"Holdemania",0.282750347501517,0.282750347501517,0.282750347501517
"Akkermansia",0.279484503639246,0.279484503639246,0.279484503639246
"Pseudoflavonifractor",0.274984947645056,0.274984947645056,0.274984947645056
"Enterorhabdus",0.268529367099357,0.268529367099357,0.268529367099357
"Eubacteriaceae_unclassified",0.248466233903975,0.248466233903975,0.248466233903975
"Neisseria",0.244023018031408,0.244023018031408,0.244023018031408
"Candidatus_Saccharibacteria_unclassified",0.22853441151082,0.22853441151082,0.22853441151082
"Pyramidobacter",0.212556230368481,0.212556230368481,0.212556230368481
"Coprococcus",0.206738229167833,0.206738229167833,0.206738229167833
"Staphylococcus",0.20284169410066,0.20284169410066,0.20284169410066
"Lactobacillaceae_unclassified",0.194041065131445,0.194041065131445,0.194041065131445
"Betaproteobacteria_unclassified",0.193982411424287,0.193982411424287,0.193982411424287
"Selenomonas",0.18864106472655,0.18864106472655,0.18864106472655
"Campylobacter",0.186651473810235,0.186651473810235,0.186651473810235
"Catenibacterium",0.181430992289655,0.181430992289655,0.181430992289655
"Comamonadaceae_unclassified",0.177986802258437,0.177986802258437,0.177986802258437
"Deltaproteobacteria_unclassified",0.170651762595663,0.170651762595663,0.170651762595663
"Neisseriaceae_unclassified",0.169908511296881,0.169908511296881,0.169908511296881
"Veillonellaceae_unclassified",0.161108716446846,0.161108716446846,0.161108716446846
"Desulfovibrionales_unclassified",0.160404870283801,0.160404870283801,0.160404870283801
"Peptococcus",0.157578747147013,0.157578747147013,0.157578747147013
"Corynebacterium",0.156633426803623,0.156633426803623,0.156633426803623
"Rikenella",0.1553933796281,0.1553933796281,0.1553933796281
"Eubacterium",0.153752421692377,0.153752421692377,0.153752421692377
"Alloscardovia",0.1411972036569,0.1411972036569,0.1411972036569
"Leuconostoc",0.140632240525755,0.140632240525755,0.140632240525755
"Dysgonomonas",0.139604213277185,0.139604213277185,0.139604213277185
"Acinetobacter",0.119873785787191,0.119873785787191,0.119873785787191
"Pseudomonas",0.11906848345215,0.11906848345215,0.11906848345215
"Mogibacterium",0.105215986133567,0.105215986133567,0.105215986133567
"Bacilli_unclassified",0.104727400373672,0.104727400373672,0.104727400373672
"Anaerobacter",0.101284292478651,0.101284292478651,0.101284292478651
