"Group","Abiotrophia","Acetivibrio","Acidaminococcaceae_unclassified","Acidaminococcus","Acinetobacter","Actinobacteria_unclassified","Actinomyces","Actinomycetales_unclassified","Aggregatibacter","Akkermansia","Alistipes","Alkalibaculum","Allisonella","Allobaculum","Alloprevotella","Alloscardovia","Alphaproteobacteria_unclassified","Anaerobacter","Anaerococcus","Anaerofustis","Anaeroglobus","Anaeroplasma","Anaerostipes","Anaerotruncus","Arcobacter","Asaccharobacter","Atopobium","Bacillales_unclassified","Bacilli_unclassified","Bacteria_unclassified","Bacteroidales_unclassified","Bacteroides","Bacteroidetes_unclassified","Barnesiella","Betaproteobacteria_unclassified","Bifidobacteriaceae_unclassified","Bifidobacterium","Bilophila","Blautia","Brochothrix","Burkholderiales_incertae_sedis_unclassified","Burkholderiales_unclassified","Butyricicoccus","Butyricimonas","Campylobacter","Campylobacterales_unclassified","Candidatus_Saccharibacteria_unclassified","Capnocytophaga","Cardiobacterium","Carnobacterium","Catenibacterium","Cellulosilyticum","Cloacibacillus","Clostridia_unclassified","Clostridiaceae_1_unclassified","Clostridiales_Incertae_Sedis_XI_unclassified","Clostridiales_Incertae_Sedis_XIII_unclassified","Clostridiales_unclassified","Clostridium_IV","Clostridium_sensu_stricto","Clostridium_XI","Clostridium_XIX","Clostridium_XlVa","Clostridium_XlVb","Clostridium_XVIII","Collinsella","Comamonadaceae_unclassified","Coprobacillus","Coprococcus","Coriobacteriaceae_unclassified","Corynebacteriaceae_unclassified","Corynebacterium","Delftia","Deltaproteobacteria_unclassified","Desulfovibrio","Desulfovibrionaceae_unclassified","Desulfovibrionales_unclassified","Dialister","Dorea","Dysgonomonas","Eggerthella","Eikenella","Enterobacteriaceae_unclassified","Enterococcaceae_unclassified","Enterococcus","Enterorhabdus","Erysipelothrix","Erysipelotrichaceae_unclassified","Escherichia/Shigella","Ethanoligenens","Eubacteriaceae_unclassified","Eubacterium","Faecalibacterium","Filifactor","Finegoldia","Firmicutes_unclassified","Flavobacteriaceae_unclassified","Flavonifractor","Fructobacillus","Fusobacteriaceae_unclassified","Fusobacterium","Gammaproteobacteria_unclassified","Gemella","Gemmiger","Geobacillus","Gordonibacter","Granulicatella","Haemophilus","Hallella","Helcococcus","Holdemania","Howardella","Kingella","Klebsiella","Lachnospira","Lachnospiraceae_unclassified","Lactobacillaceae_unclassified","Lactobacillales_unclassified","Lactobacillus","Lactococcus","Lactonifactor","Leptotrichia","Leuconostoc","Marvinbryantia","Megamonas","Megasphaera","Methylobacterium","Mitsuokella","Mogibacterium","Moraxellaceae_unclassified","Morganella","Murdochiella","Negativicoccus","Neisseria","Neisseriaceae_unclassified","Novosphingobium","Odoribacter","Olsenella","Oscillibacter","Oxalobacter","Pantoea","Parabacteroides","Paraeggerthella","Paraprevotella","Parascardovia","Parasutterella","Parvimonas","Pasteurellaceae_unclassified","Pediococcus","Pelomonas","Peptococcaceae_1_unclassified","Peptococcus","Peptoniphilus","Peptostreptococcaceae_unclassified","Peptostreptococcus","Phascolarctobacterium","Planococcaceae_unclassified","Porphyromonadaceae_unclassified","Porphyromonas","Prevotella","Prevotellaceae_unclassified","Propionibacteriaceae_unclassified","Propionibacterium","Proteobacteria_unclassified","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Pseudoramibacter","Pyramidobacter","Rhizobiales_unclassified","Rikenella","Rikenellaceae_unclassified","Roseburia","Rothia","Ruminococcaceae_unclassified","Ruminococcus","Ruminococcus2","Salmonella","Sarcina","Selenomonadales_unclassified","Selenomonas","Serratia","Shuttleworthia","Slackia","Soonwooa","Sphingomonadaceae_unclassified","SR1_unclassified","Staphylococcus","Stenotrophomonas","Streptococcaceae_unclassified","Streptococcus","Subdoligranulum","Sutterella","Synergistaceae_unclassified","Turicibacter","Veillonella","Veillonellaceae_unclassified","Weissella","Xanthomonadaceae_unclassified"
"SRR1978724",0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,1,1176,0,20,0,0,142,0,806,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,19,0,0,51,0,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,0,0,0,58,28,0,0,0,0,0,0,0,0,44,0,0,0,0,283,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1192,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,99,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,161,1,32,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
"SRR1978725",0,0,0,0,0,29,2,0,0,0,3,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,35,180,5,0,0,0,1,0,565,0,0,0,22,3,0,0,0,0,0,0,0,0,0,5,162,0,0,90,1,18,461,0,0,1,6,20,0,0,0,38,0,0,0,0,10,0,0,0,188,0,0,0,11,1,1,0,0,26,42,0,0,1,286,2,0,40,0,3,0,0,7,0,9,0,0,0,0,2,0,0,0,0,0,36,251,1923,1,1,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0,14,0,0,36,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,430,15,0,0,0,0,0,0,20,0,0,0,0,11,7,219,135,158,0,0,34,0,0,0,0,0,0,0,0,0,0,76,0,8,0,115,7,0,0,0
"SRR1978726",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,818,0,0,1,2,135,0,461,0,0,3,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,36,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,245,70,0,4,0,0,1,13,0,0,9,0,0,0,0,452,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35,1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,16,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,9,0,390,36,29,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,2,0,0
"SRR1978727",0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,860,1,0,0,0,1,0,778,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,11,0,0,126,1,3,141,0,0,0,0,2,22,0,0,16,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0,0,562,0,0,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,659,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,111,0,0,0,0,0,0,0,0,0,0,0,2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"SRR1978728",0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,60,0,0,0,0,2,2,977,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,24,24,0,59,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,102,115,0,5,0,0,0,0,0,0,3,0,0,0,0,866,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,38,0,0,0,0
"SRR1978729",0,0,0,0,0,0,0,0,0,12,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,397,0,0,0,0,1,0,270,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,186,34,0,0,0,3,20,2,0,0,6,0,16,0,0,0,0,8,0,0,0,26,0,15,0,0,3,587,0,0,0,283,0,314,0,5,0,0,69,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,46,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0
"SRR1978730",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,1155,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,4,0,59,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,130,205,0,2,0,0,0,0,0,0,0,2,0,0,0,500,0,0,0,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,83,0,983,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,2,0,0,0
"SRR1978731",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,141,7,291,6,0,3,1,255,0,263,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,68,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,109,36,0,9,0,0,0,0,0,0,9,6,0,0,0,214,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,194,79,63,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,1,0,0
"SRR1978732",0,0,0,0,0,1,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,0,57,1,0,0,0,5,0,226,0,0,0,185,1,0,0,0,0,0,0,7,0,0,1,90,0,0,58,1,0,151,0,0,0,2,101,0,0,0,70,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,1,0,0,0,111,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,579,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,87,141,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
"SRR1978733",0,1,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,15,644,4,4,1,0,0,0,361,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,84,5,0,68,0,0,0,0,22,0,0,0,23,0,0,0,1,0,0,6,3,48,0,0,0,0,0,0,0,0,25,57,0,0,0,291,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,9,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,117,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,542,51,1,0,0,38,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,0
"SRR1978734",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,25,0,0,0,0,0,0,2887,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,128,2,0,1,0,0,1,7,267,0,0,0,115,0,0,0,0,0,0,0,0,175,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,892,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,1
"SRR1978735",0,0,0,220,1,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,145,0,0,0,0,0,2,1942,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,76,3,0,55,0,8,0,8,0,0,0,0,18,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,5,0,2,0,871,0,0,16,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,75,2418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,48,0,4,0,0,50,0,0,0,0,0,0,0,0,0,0,77,0,0,0,4,14,0,0,0
"SRR1978736",0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,18,0,0,0,0,17,0,334,0,0,0,8,0,0,0,0,0,0,0,0,0,4,2,92,0,0,231,1,9,78,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,1,0,0,0,41,0,0,129,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7,597,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,34,0,0,1,0,0,0,7,0,0,0,0,0,0,10,0,0,0,5,3,0,0,0
"SRR1978738",0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2135,0,0,0,0,63,1,637,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,0,0,23,1,38,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,0,0,0,0,0,19,86,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,954,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,50,0,0,0,14,0,0,0,0,0,0,0,0,0,82,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
